initial conditions:
****      73.6600 1.685e-01 2.772e-01
****      80.9067 8.615e-02 1.807e-01
****      87.8267 -1.252e-01 1.303e-01
****      94.9533 -1.710e-01 2.036e-01
****     102.5800 6.976e-02 3.164e-01
****     109.8667 1.674e-01 2.405e-01
****     117.1067 -1.344e-02 1.738e-01
****     124.1367 -1.493e-01 1.702e-01
****     131.6633 -3.877e-02 3.142e-01
****     139.0067 1.771e-01 2.884e-01
****     146.2133 1.314e-01 1.912e-01
****     153.1933 -1.033e-01 1.439e-01
****     160.3100 -1.651e-01 2.015e-01
****     167.9400 5.722e-02 3.148e-01
****     175.2533 1.609e-01 2.401e-01
****     182.5033 -1.715e-02 1.770e-01
****     189.5700 -1.455e-01 1.840e-01
****     197.1467 -9.790e-03 3.142e-01
****     204.5033 1.681e-01 2.680e-01
****     211.7633 5.722e-02 1.762e-01
****     218.6767 -1.353e-01 1.283e-01
****     225.8467 -1.653e-01 2.210e-01
****     233.4433 9.327e-02 3.129e-01
****     240.7167 1.624e-01 2.298e-01
****     247.9267 -3.708e-02 1.748e-01
****     255.0333 -1.456e-01 1.982e-01
****     262.6533 2.367e-02 3.107e-01
****     270.0167 1.501e-01 2.458e-01
****     277.2967 -1.058e-02 1.819e-01
****     284.3900 -1.395e-01 1.921e-01
****     291.9833 1.374e-03 3.111e-01
****     299.3533 1.562e-01 2.571e-01
****     306.6400 1.936e-02 1.784e-01
****     313.6333 -1.427e-01 1.573e-01
****     321.0533 -8.622e-02 2.982e-01
****     328.4467 1.666e-01 3.018e-01
****     335.6300 1.695e-01 2.122e-01
****     342.7433 -6.265e-02 1.621e-01
****     349.8300 -1.568e-01 1.918e-01
****     357.4533 2.655e-02 3.155e-01
****     364.7867 1.636e-01 2.526e-01
****     372.0567 1.230e-02 1.755e-01
****     379.0367 -1.463e-01 1.531e-01
****     386.4467 -9.179e-02 2.968e-01
****     393.8400 1.668e-01 3.050e-01
****     401.0100 1.803e-01 2.187e-01
****     408.1500 -4.708e-02 1.620e-01
****     415.1800 -1.600e-01 1.698e-01
****     422.7433 -2.068e-02 3.197e-01
****     430.0600 1.837e-01 2.862e-01
****     437.2567 1.299e-01 1.891e-01
****     444.2200 -1.054e-01 1.393e-01
****     451.3133 -1.699e-01 1.909e-01
****     458.9400 4.293e-02 3.195e-01
****     466.2400 1.739e-01 2.534e-01
****     473.4933 2.109e-02 1.714e-01
****     480.4200 -1.468e-01 1.336e-01
****     487.6967 -1.405e-01 2.606e-01
****     495.1900 1.362e-01 3.108e-01
****     502.4000 1.766e-01 2.250e-01
****     509.5733 -3.833e-02 1.667e-01
****     516.6167 -1.554e-01 1.750e-01
****     524.1833 -1.632e-02 3.182e-01
****     531.5133 1.796e-01 2.798e-01
****     538.7333 1.045e-01 1.818e-01
****     545.6500 -1.185e-01 1.284e-01
****     552.7267 -1.771e-01 1.821e-01
****     560.3533 3.660e-02 3.238e-01
****     567.6333 1.868e-01 2.647e-01
****     574.8600 6.286e-02 1.706e-01
****     581.7200 -1.340e-01 1.095e-01
****     588.7533 -1.881e-01 1.559e-01
****     596.3433 -2.277e-03 3.317e-01
****     603.5833 2.057e-01 3.021e-01
****     610.6833 2.091e-01 2.261e-01
****     617.8233 -1.408e-02 1.536e-01
****     624.6867 -1.574e-01 1.026e-01
****     631.8200 -1.827e-01 1.991e-01
****     639.4333 7.596e-02 3.229e-01
****     646.6800 1.886e-01 2.522e-01
****     653.9033 2.894e-02 1.663e-01
****     660.7767 -1.449e-01 1.121e-01
****     667.8900 -1.811e-01 1.937e-01
****     675.5133 6.422e-02 3.226e-01
****     682.7767 1.853e-01 2.536e-01
****     690.0067 2.998e-02 1.677e-01
